Skater Name,Nationality,Gender,Age at Competition,Competition Name,Year,City,Country,Discipline,Short Program Score,Free Skate Score,Total Score,Technical Elements Score,Program Components Score,Deductions,Rank,Starting Order,Previous Season Rank,Number of Quad Jumps,Rule Changes Implemented
Yuzuru Hanyu,Japan,Male,19,2014 World Championships,2014,Saitama, Japan,Men's Singles,91.24,191.35,282.59,152.16,130.43,0,1,22,1,3,No
Mao Asada,Japan,Female,23,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,78.66,138.03,216.69,115.21,101.48,0,1,18,3,0,No
Javier Fernández,Spain,Male,22,2014 World Championships,2014,Saitama, Japan,Men's Singles,86.98,175.55,262.53,143.90,118.63,0,3,20,3,1,No
Patrick Chan,Canada,Male,23,2014 World Championships,2014,Saitama, Japan,Men's Singles,89.71,179.42,269.13,146.27,122.86,0,2,21,2,2,No
Carolina Kostner,Italy,Female,27,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,77.24,136.33,213.57,112.89,100.68,0,2,17,2,0,No
Julia Lipnitskaia,Russia,Female,15,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,74.54,133.16,207.70,110.45,97.25,0,3,16,1,0,No
Evgenia Medvedeva,Russia,Female,17,2017 World Championships,2017,Helsinki, Finland,Ladies' Singles,79.01,154.40,233.41,120.50,112.91,0,1,24,1,0,Yes
Nathan Chen,USA,Male,17,2017 World Championships,2017,Helsinki, Finland,Men's Singles,97.33,193.39,290.72,160.76,129.96,-1,6,23,4,5,Yes
Shoma Uno,Japan,Male,19,2017 World Championships,2017,Helsinki, Finland,Men's Singles,100.28,214.45,314.73,168.21,146.52,0,2,22,2,4,Yes
Kaetlyn Osmond,Canada,Female,21,2017 World Championships,2017,Helsinki, Finland,Ladies' Singles,75.98,142.15,218.13,114.30,103.83,0,2,23,4,0,Yes
Gabrielle Daleman,Canada,Female,19,2017 World Championships,2017,Helsinki, Finland,Ladies' Singles,72.19,141.33,213.52,112.20,101.32,0,3,22,5,0,Yes
Alina Zagitova,Russia,Female,16,2018 World Championships,2018,Milan, Italy,Ladies' Singles,82.08,148.34,230.42,121.12,109.30,0,1,24,2,1,Yes
Nathan Chen,USA,Male,18,2018 World Championships,2018,Milan, Italy,Men's Singles,101.94,215.08,317.02,175.12,141.90,0,1,24,1,6,Yes
Shoma Uno,Japan,Male,20,2018 World Championships,2018,Milan, Italy,Men's Singles,94.26,197.36,291.62,162.14,129.48,0,2,23,2,4,Yes
Kaori Sakamoto,Japan,Female,18,2018 World Championships,2018,Milan, Italy,Ladies' Singles,71.34,136.58,207.92,110.42,97.50,0,4,23,5,0,Yes
Evgenia Medvedeva,Russia,Female,18,2018 World Championships,2018,Milan, Italy,Ladies' Singles,74.23,143.02,217.25,113.90,103.35,0,3,22,1,0,Yes
Alena Kostornaia,Russia,Female,16,2019 Grand Prix Final,2019,Turin, Italy,Ladies' Singles,85.45,162.14,247.59,128.65,119.94,0,1,6,NA,0,Yes
Yuzuru Hanyu,Japan,Male,24,2019 World Championships,2019,Saitama, Japan,Men's Singles,94.87,206.10,300.97,168.50,132.47,0,2,23,2,4,Yes
Kamila Valieva,Russia,Female,15,2021 Rostelecom Cup,2021,Sochi, Russia,Ladies' Singles,87.42,185.29,272.71,150.00,123.00,-0.29,1,12,NA,3,Yes
Shoma Uno,Japan,Male,23,2021 NHK Trophy,2021,Tokyo, Japan,Men's Singles,102.58,197.48,300.06,165.76,134.30,-0.02,1,10,NA,3,Yes
Nathan Chen,USA,Male,21,2021 World Championships,2021,Stockholm, Sweden,Men's Singles,106.98,222.03,329.01,188.60,140.41,0,1,24,1,5,Yes
Anna Shcherbakova,Russia,Female,16,2021 World Championships,2021,Stockholm, Sweden,Ladies' Singles,81.00,152.17,233.17,121.50,111.67,0,1,24,4,2,Yes
Yuma Kagiyama,Japan,Male,17,2021 World Championships,2021,Stockholm, Sweden,Men's Singles,100.96,190.81,291.77,163.06,128.71,0,2,23,NA,2,Yes
Sasha Cohen,USA,Female,19,2004 World Championships,2004,Dortmund, Germany,Ladies' Singles,68.08,130.89,198.97,108.40,90.57,0,2,20,3,0,No
Irina Slutskaya,Russia,Female,25,2004 World Championships,2004,Dortmund, Germany,Ladies' Singles,71.12,133.18,204.30,110.50,93.80,0,1,21,1,0,No
Daisuke Takahashi,Japan,Male,27,2014 Sochi Olympics,2014,Sochi, Russia,Men's Singles,86.40,164.27,250.67,140.10,110.57,0,6,18,2,2,No
Adelina Sotnikova,Russia,Female,17,2014 Sochi Olympics,2014,Sochi, Russia,Ladies' Singles,74.64,149.95,224.59,117.50,107.45,0,1,24,2,0,No
Yuna Kim,South Korea,Female,23,2014 Sochi Olympics,2014,Sochi, Russia,Ladies' Singles,74.92,144.19,219.11,114.50,104.61,0,2,23,1,0,No
Denis Ten,Kazakhstan,Male,20,2014 Sochi Olympics,2014,Sochi, Russia,Men's Singles,84.06,171.04,255.10,145.00,110.10,0,3,20,6,1,No
Boyang Jin,China,Male,19,2017 World Championships,2017,Helsinki, Finland,Men's Singles,92.49,176.75,269.24,148.80,120.44,0,3,21,5,4,Yes
Elizabet Tursynbaeva,Kazakhstan,Female,19,2019 World Championships,2019,Saitama, Japan,Ladies' Singles,75.96,148.80,224.76,118.60,106.16,0,2,23,6,1,Yes
Stéphane Lambiel,Switzerland,Male,20,2006 World Championships,2006,Calgary, Canada,Men's Singles,82.15,167.46,249.61,142.90,106.71,0,1,18,1,2,No
Miki Ando,Japan,Female,22,2010 World Championships,2010,Turin, Italy,Ladies' Singles,64.12,124.23,188.35,101.50,86.85,0,4,17,3,0,No
Brian Joubert,France,Male,23,2008 World Championships,2008,Gothenburg, Sweden,Men's Singles,82.15,153.79,235.94,139.00,96.94,0,1,18,2,2,No
Michael Brezina,Czech Republic,Male,27,2018 World Championships,2018,Milan, Italy,Men's Singles,81.11,158.81,239.92,130.70,109.22,0,6,20,8,0,Yes
Keegan Messing,Canada,Male,27,2019 Four Continents,2019,Anaheim, USA,Men's Singles,88.18,178.04,266.22,147.80,118.42,0,4,21,7,2,Yes
Jason Brown,USA,Male,19,2014 World Championships,2014,Saitama, Japan,Men's Singles,84.77,164.34,249.11,139.70,109.41,0,5,19,4,0,No
Satoko Miyahara,Japan,Female,20,2018 World Championships,2018,Milan, Italy,Ladies' Singles,74.36,143.31,217.68,112.80,104.88,0,3,22,3,0,Yes
Bradie Tennell,USA,Female,20,2018 World Championships,2018,Milan, Italy,Ladies' Singles,68.94,129.81,198.75,106.50,92.25,0,6,21,NA,0,Yes
Ashley Wagner,USA,Female,22,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,67.74,127.54,195.28,102.30,93.98,0,7,15,4,0,No
Elizaveta Tuktamysheva,Russia,Female,24,2021 World Championships,2021,Stockholm, Sweden,Ladies' Singles,78.86,141.60,220.46,112.70,107.76,0,2,23,5,1,Yes
Deniss Vasiljevs,Latvia,Male,17,2017 World Championships,2017,Helsinki, Finland,Men's Singles,85.07,170.06,255.13,140.50,114.63,0,7,20,10,1,Yes
Sergei Voronov,Russia,Male,31,2017 World Championships,2017,Helsinki, Finland,Men's Singles,86.96,160.96,247.92,135.50,112.42,0,8,19,9,1,Yes
Daisuke Takahashi,Japan,Male,27,2014 World Championships,2014,Saitama, Japan,Men's Singles,94.21,178.41,272.62,147.80,124.82,0,3,21,2,2,No
Mariah Bell,USA,Female,24,2020 U.S. Championships,2020,Greensboro, USA,Ladies' Singles,75.48,151.99,227.47,119.50,108.97,0,2,20,3,0,Yes
Misha Ge,Uzbekistan,Male,26,2018 World Championships,2018,Milan, Italy,Men's Singles,83.89,159.39,243.28,136.60,106.68,0,9,19,12,0,Yes
Kaori Sakamoto,Japan,Female,21,2021 NHK Trophy,2021,Tokyo, Japan,Ladies' Singles,76.56,146.78,223.34,115.20,108.14,0,1,10,NA,0,Yes
Denis Ten,Kazakhstan,Male,20,2014 World Championships,2014,Saitama, Japan,Men's Singles,91.56,173.48,265.04,142.80,122.24,0,4,20,6,1,No
Adam Rippon,USA,Male,28,2018 Winter Olympics,2018,Pyeongchang, South Korea,Men's Singles,87.95,171.41,259.36,144.00,115.36,0,10,17,5,0,Yes
Johnny Weir,USA,Male,20,2005 World Championships,2005,Moscow, Russia,Men's Singles,80.00,151.89,231.89,137.50,94.39,0,4,19,5,1,No
Gracie Gold,USA,Female,18,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,68.63,126.80,195.43,103.20,92.23,0,5,14,5,0,No
Alexei Yagudin,Russia,Male,22,2002 Winter Olympics,2002,Salt Lake City, USA,Men's Singles,85.50,173.50,259.00,145.00,114.00,0,1,24,1,2,No
Shizuka Arakawa,Japan,Female,24,2006 Winter Olympics,2006,Turin, Italy,Ladies' Singles,66.02,125.32,191.34,104.50,86.84,0,1,23,5,0,No
Evgeni Plushenko,Russia,Male,23,2006 Winter Olympics,2006,Turin, Italy,Men's Singles,90.66,167.67,258.33,146.00,112.33,0,1,24,2,3,No
Alena Leonova,Russia,Female,23,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,64.35,121.38,185.73,98.70,87.03,0,9,13,7,0,No
Kazuki Tomono,Japan,Male,20,2018 World Championships,2018,Milan, Italy,Men's Singles,82.61,169.69,252.30,142.80,109.50,0,5,18,NA,2,Yes
Starr Andrews,USA,Female,19,2020 Four Continents,2020,Seoul, South Korea,Ladies' Singles,62.66,122.52,185.18,99.40,89.78,0,9,15,NA,0,Yes
Dmitri Aliev,Russia,Male,20,2019 European Championships,2019,Minsk, Belarus,Men's Singles,91.33,177.91,269.24,149.10,120.14,0,2,22,4,2,Yes
Alexei Bychenko,Israel,Male,29,2017 World Championships,2017,Helsinki, Finland,Men's Singles,83.49,164.60,248.09,137.60,110.49,0,10,17,6,2,Yes
